Primer Autor,Año,Tipo de Producto,Afiliación del Primer Autor,Journal,Publisher,Base de Datos,Citaciones
Leung B.M.Y.,2024-10-01,Article,University of Lethbridge,Health Expectations,Publisher desconocido,Scopus,0
Lewandowsky S.,2024-12-01,Article,Universität Potsdam,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Li H.,2024-10-01,Article,Beijing University of Technology,Accident Analysis and Prevention,Publisher desconocido,Scopus,0
Li H.X.,2024-11-15,Article,Institute of Psychology Chinese Academy of Sciences,Journal of Affective Disorders,Publisher desconocido,Scopus,0
Li J.,2024-10-15,Article,Changsha University of Science and Technology,Applied Thermal Engineering,Publisher desconocido,Scopus,2
Li J.,2024-11-01,Article,Jinan University,Social Science and Medicine,Publisher desconocido,Scopus,0
Li J.,2024-12-01,Article,Jinniu Maternity and Child Health Hospital of Chengdu,BMC Pulmonary Medicine,Publisher desconocido,Scopus,0
Li J.,2024-12-01,Article,University of Science and Technology Beijing,Scientific Reports,Publisher desconocido,Scopus,1
Li M.,2024-09-25,Review,Queensland University of Technology,Advanced Functional Materials,Publisher desconocido,Scopus,2
Li T.,2024-10-01,Article,Tongji University,Advanced Engineering Informatics,Publisher desconocido,Scopus,0
Li W.,2024-12-01,Article,Kookmin University,Scientific Reports,Publisher desconocido,Scopus,2
Li X.,2024-10-01,Article,Universiteit Gent,Journal of Educational Computing Research,Publisher desconocido,Scopus,0
Li X.,2024-12-01,Article,Sehan University,Scientific Reports,Publisher desconocido,Scopus,0
Li Y.,2024-09-27,Article,Hunan University,Theoretical Computer Science,Publisher desconocido,Scopus,0
Li Y.,2024-10-01,Article,Southwestern University of Finance and Economics,Information Sciences,Publisher desconocido,Scopus,0
Li Y.,2024-10-01,Article,Guangdong Medical University,Biochimica et Biophysica Acta - Molecular Basis of Disease,Publisher desconocido,Scopus,0
Li Y.,2024-11-01,Article,Tickle College of Engineering,Journal of Computing in Civil Engineering,Publisher desconocido,Scopus,0
Li Y.,2024-12-01,Article,Central China Normal University,Thinking Skills and Creativity,Publisher desconocido,Scopus,0
Li Y.,2024-12-01,Article,Ltd.,Engineering Applications of Artificial Intelligence,Publisher desconocido,Scopus,0
Li Y.,2024-12-01,Article,Donghua University,Journal of Membrane Science,Publisher desconocido,Scopus,0
Li Y.,2024-12-01,Article,Xuzhou University of Technology,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Li Y.,2024-12-07,Article,Shanghai University,Neurocomputing,Publisher desconocido,Scopus,0
Li Y.G.,2024-10-01,Article,Shenzhen University,Rare Metals,Publisher desconocido,Scopus,0
Li Z.,2024-12-01,Article,Jiangsu University,Journal of Infrastructure Systems,Publisher desconocido,Scopus,0
Li Z.,2024-12-01,Review,University of Macau,International Journal of STEM Education,Publisher desconocido,Scopus,0
Liang J.,2024-10-01,Article,Zhengzhou University,Swarm and Evolutionary Computation,Publisher desconocido,Scopus,0
Liang J.,2025-04-01,Article,Northwestern Polytechnical University,Robotics and Computer-Integrated Manufacturing,Publisher desconocido,Scopus,0
Liao G.,2024-10-01,Article,Hefei University of Technology,Tribology International,Publisher desconocido,Scopus,0
Liao Y.,2024-10-01,Article,South-Central Minzu University,Biomedical Signal Processing and Control,Publisher desconocido,Scopus,0
Lieber W.C.,2024-09-10,Article,Duke University,Journal of Chemical Education,Publisher desconocido,Scopus,0
Lin D.J.,2024-12-01,Note,U.S. Department of Veterans Affairs,Journal of NeuroEngineering and Rehabilitation,Publisher desconocido,Scopus,1
Lin M.,2024-12-01,Article,Fujian Agriculture and Forestry University,Scientific Reports,Publisher desconocido,Scopus,0
Lin Y.,2024-12-01,Review,University of Science and Technology Beijing,Journal of Cloud Computing,Publisher desconocido,Scopus,0
Liu B.,2024-10-10,Article,Tianjin University of Technology,Science of the Total Environment,Publisher desconocido,Scopus,0
Liu C.,2024-12-01,Article,Hunan Normal University,Scientific Reports,Publisher desconocido,Scopus,0
Liu C.Y.,2024-12-01,Article,Fujian Normal University,Computers in Human Behavior,Publisher desconocido,Scopus,0
Liu L.,2024-11-01,Article,Nanjing University,Journal of Informetrics,Publisher desconocido,Scopus,0
Liu X.,2024-12-01,Article,Shenyang Institute of Engineering,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Liu Y.,2024-09-15,Article,Ningbo Polytechnic,Heliyon,Publisher desconocido,Scopus,0
Liu Y.,2024-10-01,Article,Southeast University,Advanced Engineering Informatics,Publisher desconocido,Scopus,0
Liu Y.,2024-10-01,Article,North China University of Science and Technology,NeuroImage,Publisher desconocido,Scopus,0
Liu Y.,2024-12-01,Review,Central South University,Translational Neurodegeneration,Publisher desconocido,Scopus,10
Liu Z.,2024-10-01,Article,Central China Normal University,Computers and Education,Publisher desconocido,Scopus,2
Lloyd A.,2024-10-01,Review,University College London,"Cognitive, Affective and Behavioral Neuroscience",Publisher desconocido,Scopus,0
Lo C.K.,2024-10-01,Article,The Education University of Hong Kong,Computers and Education,Publisher desconocido,Scopus,4
Locke K.A.,2024-10-01,Article,University of Cape Town,Science of the Total Environment,Publisher desconocido,Scopus,0
Long B.,2024-11-01,Article,Harbin Engineering University,International Journal of Approximate Reasoning,Publisher desconocido,Scopus,0
Lonsky M.,2024-10-01,Article,The Grainger College of Engineering,American Journal of Physics,Publisher desconocido,Scopus,0
Loos C.,2024-09-01,Article,Universität Hamburg,Language,Publisher desconocido,Scopus,0
Lore C.,2024-12-01,Article,Concord Consortium,Computers and Education,Publisher desconocido,Scopus,0
Lu B.,2024-12-01,Article,Ocean University of China,Financial Innovation,Publisher desconocido,Scopus,0
Lu J.,2024-10-01,Article,Arizona State University Downtown Phoenix Campus,Journal of Rural Studies,Publisher desconocido,Scopus,0
Lu M.,2024-09-15,Article,University of Wollongong,Applied Energy,Publisher desconocido,Scopus,4
Lu M.L.,2024-11-01,Review,University of Wollongong,Renewable and Sustainable Energy Reviews,Publisher desconocido,Scopus,0
Lu P.,2024-10-01,Article,Dalian University of Technology,Advanced Engineering Informatics,Publisher desconocido,Scopus,0
Lu X.,2024-12-01,Article,Tourism College of Zhejiang,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Lu X.,2024-12-01,Article,Jiangxi Agricultural University,Information Fusion,Publisher desconocido,Scopus,1
Lu Y.,2024-09-10,Article,Southeast University,"Engineering, Construction and Architectural Management",Publisher desconocido,Scopus,3
Ludwig C.M.L.,2024-12-01,Article,Institute for Systems Biology,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Luger J.,2024-10-01,Article,University of Northumbria,Political Geography,Publisher desconocido,Scopus,0
Luna Pinzon A.,2024-12-01,Article,Amsterdam Public Health,Health Research Policy and Systems,Publisher desconocido,Scopus,0
Luo A.C.,2024-12-01,Article,The Children's Hospital of Philadelphia,Nature Communications,Publisher desconocido,Scopus,2
Luo G.,2025-02-19,Article,State Key Laboratory of Heavy Oil Processing,Separation and Purification Technology,Publisher desconocido,Scopus,0
Luo N.,2025-01-01,Article,Chongqing University of Posts and Telecommunications,Information Sciences,Publisher desconocido,Scopus,0
Luo X.,2024-10-01,Article,The Hong Kong Polytechnic University,Transportation Research Part C: Emerging Technologies,Publisher desconocido,Scopus,0
Luo Y.,2024-10-01,Article,Guangxi Normal University,Applied Soft Computing,Publisher desconocido,Scopus,0
Luthra M.,2024-09-03,Article,Universiteit van Amsterdam,Journal of Documentation,Publisher desconocido,Scopus,5
López-Bouzas N.,2024-12-01,Article,Universidad de Oviedo,International Journal of Child-Computer Interaction,Publisher desconocido,Scopus,0
Lönnfält A.,2025-01-01,Article,Chalmers University of Technology,Journal of Systems and Software,Publisher desconocido,Scopus,0
Løge I.A.,2024-10-01,Review,Technical University of Denmark,Chemical Engineering Journal,Publisher desconocido,Scopus,0
Ma J.,2024-12-07,Short Survey,Zhengzhou University of Light Industry,Neurocomputing,Publisher desconocido,Scopus,0
Ma N.,2024-09-11,Article,Zhejiang Lab,Journal of Neuroscience,Publisher desconocido,Scopus,0
Ma T.,2025-01-30,Article,Ocean College Zhejiang University,Measurement: Journal of the International Measurement Confederation,Publisher desconocido,Scopus,0
Ma W.,2024-11-01,Article,Universiti Teknologi MARA,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Ma Y.M.,2024-09-30,Article,"City University of Hong Kong, College of Business",Internet Research,Publisher desconocido,Scopus,3
Ma Z.,2024-12-01,Article,Kunming Institute of Zoology Chinese Academy of Sciences,BMC Bioinformatics,Publisher desconocido,Scopus,1
Magana A.J.,2024-12-01,Article,Purdue University,International Journal of STEM Education,Publisher desconocido,Scopus,0
Mahardika I.M.S.,2024-10-01,Article,Universitas Negeri Surabaya,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Mahmoodi K.,2024-12-01,Article,U.S. Army Research Laboratory,Scientific Reports,Publisher desconocido,Scopus,0
Makar S.K.,2024-12-01,Article,Ali Yavar Jung National Institute of Speech and Hearing Disabilities (Divyangjan),Egyptian Journal of Otolaryngology,Publisher desconocido,Scopus,0
Makhado B.P.,2024-10-01,Review,University of South Africa,Toxicology in Vitro,Publisher desconocido,Scopus,0
Maki K.E.,2024-10-01,Article,University of Florida,Journal of School Psychology,Publisher desconocido,Scopus,0
Maloney L.T.,2024-12-01,Article,New York University,Scientific Reports,Publisher desconocido,Scopus,0
Maluleke T.,2024-10-01,Review,F. Hoffmann La-Roche,British Journal of Clinical Pharmacology,Publisher desconocido,Scopus,0
Mamman H.,2024-10-01,Article,Abubakar Tafawa Balewa University,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Manna A.,2024-12-01,Article,Central European University,Nature Communications,Publisher desconocido,Scopus,0
Mao G.,2024-12-01,Article,Zhejiang Normal University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Maqsood M.,2025-02-05,Article,National Textile University Faisalabad,Journal of Molecular Structure,Publisher desconocido,Scopus,0
Marcheco E.C.,2025-01-01,Article,Universidad Técnica de Cotopaxi,International Journal of Neutrosophic Science,Publisher desconocido,Scopus,0
Marcotte M.,2024-10-01,Article,Rhode Island College,Psychological Reports,Publisher desconocido,Scopus,1
Mariappan P.,2024-11-01,Article,Universiti Pendidikan Sultan Idris,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,1
Mark E.,2024-12-01,Article,Oxford Social Sciences Division,Energy Policy,Publisher desconocido,Scopus,0
Martin E.J.,2024-12-01,Article,The University of Edinburgh,Evolution: Education and Outreach,Publisher desconocido,Scopus,0
Martin P.P.,2024-12-01,Article,Afiliación desconocida,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Marulanda-Gomez A.M.,2024-12-01,Article,GEOMAR - Helmholtz-Zentrum für Ozeanforschung Kiel,BMC Genomics,Publisher desconocido,Scopus,0
Masa'deh R.,2024-12-01,Article,The University of Jordan,International Journal of Data and Network Science,Publisher desconocido,Scopus,1
Masfuah S.,2024-10-01,Article,Universitas Muria Kudus,Multidisciplinary Science Journal,Publisher desconocido,Scopus,0
Mathebula S.,2024-12-30,Article,University of Johannesburg,"International Journal of Technology, Knowledge and Society",Publisher desconocido,Scopus,0
Matsuyoshi D.,2024-12-01,Article,Araya Inc.,BMC Psychology,Publisher desconocido,Scopus,0
Mayer J.M.,2024-11-01,Article,Yale University,Journal of Catalysis,Publisher desconocido,Scopus,0
Mayerhofer M.,2024-12-01,Article,Universität Wien Institut für Mathematik,International Journal of STEM Education,Publisher desconocido,Scopus,0
Mazumder S.,2024-10-01,Review,University of Engineering &amp; Management Kolkata,Functional and Integrative Genomics,Publisher desconocido,Scopus,0
Mbaidin H.O.,2024-12-01,Article,Al Qasimia University,International Journal of Data and Network Science,Publisher desconocido,Scopus,5
McLaughlin C.,2024-12-01,Article,Icahn School of Medicine at Mount Sinai,Communications Biology,Publisher desconocido,Scopus,0
McMillen P.,2024-12-01,Article,Tufts University,Communications Biology,Publisher desconocido,Scopus,4
Melgarejo M.,2025-01-01,Article,Universidad Distrital Francisco José de Caldas,Information Sciences,Publisher desconocido,Scopus,0
Melkikh A.V.,2024-11-01,Article,Ural Federal University,BioSystems,Publisher desconocido,Scopus,0
Meng L.,2024-10-10,Review,University of Science and Technology Beijing,Science of the Total Environment,Publisher desconocido,Scopus,0
Meng M.,2024-12-01,Article,Gansu Province People's Hospital,BMC Health Services Research,Publisher desconocido,Scopus,1
Meng X.,2024-12-01,Article,Shandong University of Science and Technology,Studies in Educational Evaluation,Publisher desconocido,Scopus,0
Meng Y.,2024-10-04,Article,North China University of Science and Technology,Neuroscience,Publisher desconocido,Scopus,0
Meng Y.,2024-12-01,Article,Hebei Minzu Normal University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Meng Z.,2024-10-01,Article,"Faculteit Civiele Techniek en Geowetenschappen, TU Delft",Materials and Design,Publisher desconocido,Scopus,0
Mgammal M.H.,2024-12-01,Article,Amran University,Discover Computing,Publisher desconocido,Scopus,0
Mi Z.,2024-10-01,Article,Shandong First Medical University &amp; Shandong Academy of Medical Sciences,eBioMedicine,Publisher desconocido,Scopus,0
Micheletti T.,2024-10-01,Article,Technische Universität Dresden,Ecological Modelling,Publisher desconocido,Scopus,0
Millano A.D.,2024-12-01,Article,Universidad Católica del Norte,Physics of the Dark Universe,Publisher desconocido,Scopus,1
Min B.,2024-12-01,Article,Northeast Normal University,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Mindermann P.,2024-12-01,Article,Universität Stuttgart,Scientific Reports,Publisher desconocido,Scopus,1
Mine K.,2024-12-01,Article,Faculty of Medicine,Nature Communications,Publisher desconocido,Scopus,0
Mistica M.,2024-10-01,Article,University of Melbourne,Behavior Research Methods,Publisher desconocido,Scopus,1
Mitchnick K.A.,2024-10-01,Article,York University,Cortex,Publisher desconocido,Scopus,0
Mohamed Z.,2024-12-01,Article,Universiti Pendidikan Sultan Idris,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Mohammadi S.,2024-09-15,Article,University of Strathclyde,Journal of Cleaner Production,Publisher desconocido,Scopus,0
Mohr G.,2024-12-01,Article,University of Glasgow,Translational Psychiatry,Publisher desconocido,Scopus,0
Mohtasim M.S.,2025-01-01,Review,Rajshahi University of Engineering and Technology,Renewable and Sustainable Energy Reviews,Publisher desconocido,Scopus,0
Mojzych I.,2024-09-01,Article,University of Warsaw,International Journal of Molecular Sciences,Publisher desconocido,Scopus,0
Molins F.,2024-12-01,Article,Universitat de València,Scientific Reports,Publisher desconocido,Scopus,0
Momenifar S.,2024-09-01,Article,University of Alberta,Buildings,Publisher desconocido,Scopus,0
Monat J.P.,2024-10-01,Review,Worcester Polytechnic Institute,Futures,Publisher desconocido,Scopus,0
Mondal R.,2024-09-05,Book Chapter,"All India Institute of Medical Sciences, Patna",Artificial Intelligence Technology in Healthcare: Security and Privacy Issues,Publisher desconocido,Scopus,0
Montano L.J.,2024-11-01,Article,Bruno Kessler Foundation,Annals of Tourism Research Empirical Insights,Publisher desconocido,Scopus,0
Montella R.,2024-09-01,Article,Parthenope University of Naples,Applied Sciences (Switzerland),Publisher desconocido,Scopus,0
Moon Y.,2024-10-01,Article,"University of California, Irvine",Journal of Experimental Child Psychology,Publisher desconocido,Scopus,0
Mormina M.,2024-12-01,Note,"European University Institute, San Domenico di Fiesole",Humanities and Social Sciences Communications,Publisher desconocido,Scopus,0
Morra D.,2024-10-01,Article,Politecnico di Milano,International Journal of Human Computer Studies,Publisher desconocido,Scopus,0
Mota Dos Santos A.,2024-12-01,Article,Universidade Federal do Sul da Bahia,Social Network Analysis and Mining,Publisher desconocido,Scopus,0
Moundridou M.,2024-12-01,Article,School of Pedagogical and Technological Education,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Mroczek-Dąbrowska K.,2024-09-01,Article,Poznań University of Economics and Business,Entrepreneurial Business and Economics Review,Publisher desconocido,Scopus,0
Mueed A.,2025-01-15,Article,Nanchang University,Food Chemistry,Publisher desconocido,Scopus,0
Mukhalalati B.,2024-12-01,Article,College of Pharmacy,BMC Medical Education,Publisher desconocido,Scopus,0
Mukred M.,2024-11-01,Review,Sunway University,International Journal of Information Management Data Insights,Publisher desconocido,Scopus,0
Muktiarni M.,2025-03-01,Article,Universitas Pendidikan Indonesia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Mumenin N.,2024-09-15,Article,Bangladesh Army University of Engineering and Technology,Heliyon,Publisher desconocido,Scopus,0
Mungo L.,2024-12-01,Article,University of Oxford,EPJ Data Science,Publisher desconocido,Scopus,1
Murphy B.,2024-12-01,Article,Dublin City University,International Journal of Accounting Information Systems,Publisher desconocido,Scopus,0
Murray L.,2024-12-01,Article,National Institute on Drug Abuse (NIDA),Journal of Affective Disorders,Publisher desconocido,Scopus,0
Muthmainnah M.,2024-09-27,Book Chapter,Universitas Al Asyariah Mandar,Innovative Pedagogical Practices for Higher Education 4.0: Solutions and Demands of the Modern Classroom,Publisher desconocido,Scopus,0
Muñoz Laguna J.,2024-12-01,Article,Universität Zürich,Chiropractic and Manual Therapies,Publisher desconocido,Scopus,1
Naidoo M.,2024-12-01,Article,Instituto de Salud Global de Barcelona,BMC Medicine,Publisher desconocido,Scopus,4
Nanda M.A.,2024-12-01,Article,Universitas Padjadjaran,Smart Agricultural Technology,Publisher desconocido,Scopus,0
Navarro S.,2024-09-02,Conference Paper,Universidad San Jorge,ACM International Conference Proceeding Series,Publisher desconocido,Scopus,0
Ngo S.,2025-01-01,Article,Margie and Bill Klesse College of Engineering and Integrated Design,Environmental Modelling and Software,Publisher desconocido,Scopus,0
Nguyen L.L.H.,2024-10-10,Article,RMIT University Vietnam,Journal of Cleaner Production,Publisher desconocido,Scopus,0
Nguyen T.Q.,2024-10-15,Article,Università degli Studi di Palermo,Heliyon,Publisher desconocido,Scopus,0
Ni J.Y.,2024-09-15,Article,Shanghai Ocean University,Aquaculture,Publisher desconocido,Scopus,0
Nicely A.,2024-09-12,Article,College of Health and Human Sciences,International Journal of Tourism Cities,Publisher desconocido,Scopus,0
Nie H.,2024-11-01,Article,Huazhong University of Science and Technology,Applied Intelligence,Publisher desconocido,Scopus,0
Nippert K.E.,2024-12-01,Review,University of Massachusetts Amherst,Neuropharmacology,Publisher desconocido,Scopus,0
Nitsch A.,2024-12-01,Article,Max Planck Institute for Human Cognitive and Brain Sciences,Nature Communications,Publisher desconocido,Scopus,0
Niu B.,2024-12-01,Article,Nanjing Vocational University of Industry Technology,Research in Transportation Business and Management,Publisher desconocido,Scopus,0
Nixon P.,2024-12-01,Article,Momentum Investments,Journal of Behavioral and Experimental Finance,Publisher desconocido,Scopus,0
Noel L.,2024-12-01,Article,Cedars-Sinai Medical Center,Scientific Reports,Publisher desconocido,Scopus,0
Noguchi S.,2024-10-01,Article,Japan Agency for Marine-Earth Science and Technology,Computational Materials Science,Publisher desconocido,Scopus,0
Nolla Á.,2024-11-01,Article,Universidad Autónoma de Madrid,International Electronic Journal of Mathematics Education,Publisher desconocido,Scopus,0
Noris M.,2024-09-16,Article,Universitas Sebelas Maret,Journal of Lifestyle and SDG'S Review,Publisher desconocido,Scopus,0
Nugroho W.,2025-01-01,Article,Universitas Sebelas Maret,Multidisciplinary Science Journal,Publisher desconocido,Scopus,0
Nuralieva N.,2024-09-30,Article,Shaanxi Normal University,Heliyon,Publisher desconocido,Scopus,0
Núñez D.,2024-09-06,Article,Universidad de Oviedo,Separation and Purification Technology,Publisher desconocido,Scopus,0
Obiedat R.,2024-12-01,Article,The University of Jordan,Social Network Analysis and Mining,Publisher desconocido,Scopus,0
Ocloo R.,2024-12-01,Article,Stellenbosch University,Scientific Reports,Publisher desconocido,Scopus,0
Ofosu-Asare Y.,2024-09-30,Book,University of Melbourne,"Decolonising Design in Africa: Towards New Theories, Methods, and Practices",Publisher desconocido,Scopus,0
Oktavian R.,2024-12-01,Article,The University of Sheffield,Nature Communications,Publisher desconocido,Scopus,4
Oktaviani L.,2024-11-01,Article,Universitas Negeri Yogyakarta,Journal of Education and Learning,Publisher desconocido,Scopus,0
Olasoji A.O.,2024-12-01,Review,University of Cape Town,Scientific African,Publisher desconocido,Scopus,0
Omonijo O.N.,2024-12-01,Article,Central South University,Discover Sustainability,Publisher desconocido,Scopus,0
Ooms F.,2024-11-01,Article,Université de Liège,Journal of Business Venturing Insights,Publisher desconocido,Scopus,1
Orosz G.,2024-12-01,Article,Université de Lille,Scientific Reports,Publisher desconocido,Scopus,0
Ortiz-Valladares M.,2024-10-18,Note,Universidad de Colima,Neuroscience,Publisher desconocido,Scopus,0
Orwig W.,2024-10-01,Article,Massachusetts General Hospital,Cortex,Publisher desconocido,Scopus,0
Osmanoglu A.,2024-10-01,Article,Ordu Üniversitesi,International Journal of Science and Mathematics Education,Publisher desconocido,Scopus,0
Osvath M.,2024-09-16,Article,Lund University Cognitive Science,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,1
Otay İ.,2024-09-15,Article,Istanbul Bilgi Üniversitesi,Expert Systems with Applications,Publisher desconocido,Scopus,7
Ouyang F.,2024-12-01,Review,"College of Education, Zhejiang University",International Journal of STEM Education,Publisher desconocido,Scopus,7
O’Neill I.,2024-12-01,Article,Queen's University Belfast,Discover Sustainability,Publisher desconocido,Scopus,0
Padeli W.,2025-09-01,Article,Universiti Utara Malaysia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Padernal R.E.,2024-10-01,Article,John B. Lacson Foundation Maritime University,International Journal of Evaluation and Research in Education,Publisher desconocido,Scopus,0
Pagni B.A.,2024-12-01,Article,NYU Grossman School of Medicine,Scientific Reports,Publisher desconocido,Scopus,5
Pahlavanpour O.,2024-10-15,Review,Örebro Universitet,Heliyon,Publisher desconocido,Scopus,0
Paley J.,2024-09-30,Book,University of Worcester,Constructivism and the Metaphysics of Qualitative Research,Publisher desconocido,Scopus,0
Paliathanasis A.,2024-12-01,Article,Universidad Católica del Norte,Physics of the Dark Universe,Publisher desconocido,Scopus,0
Pan L.,2024-10-01,Article,Shenzhen University,Applied Soft Computing,Publisher desconocido,Scopus,0
Pan X.,2024-12-01,Article,College of Engineering,Scientific Reports,Publisher desconocido,Scopus,1
Pandey A.,2024-09-04,Article,Michigan State University,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,1
Pandey A.,2024-10-01,Article,Manipal University Jaipur,Neural Processing Letters,Publisher desconocido,Scopus,0
Panfilova A.S.,2024-12-01,Article,"Institute of Psychology, Russian Academy of Sciences",Scientific Reports,Publisher desconocido,Scopus,1
Panklam A.,2024-09-12,Article,University of Phayao,Theory and Practice in Language Studies,Publisher desconocido,Scopus,0
Pap J.,2025-04-01,Article,Széchenyi István University,Decision Making: Applications in Management and Engineering,Publisher desconocido,Scopus,0
Paquet E.,2024-12-01,Article,University of Ottawa,Computational and Structural Biotechnology Journal,Publisher desconocido,Scopus,0
Park J.,2024-12-01,Article,Afiliación desconocida,Technology in Society,Publisher desconocido,Scopus,0
Parra-López C.,2024-11-01,Review,"Instituto Andaluz de Investigación y Formación Agraria, Pesquera, Alimentaria y de la Producción Ecológica",Computers and Electronics in Agriculture,Publisher desconocido,Scopus,0
Passmore S.,2024-12-01,Article,Keio University,Nature Communications,Publisher desconocido,Scopus,0
Pedraza F.,2024-12-01,Article,Centre de Recherche en Neurosciences de Lyon,npj Science of Learning,Publisher desconocido,Scopus,2
Pei Y.,2024-09-01,Article,Southeast University,Applied Sciences (Switzerland),Publisher desconocido,Scopus,0
Pellegrino A.,2024-10-01,Review,"Sasin School of Management, Bangkok",Online Journal of Communication and Media Technologies,Publisher desconocido,Scopus,0
Pellow-Jarman A.,2024-12-01,Article,University of KwaZulu-Natal,Scientific Reports,Publisher desconocido,Scopus,1
Pellow-Jarman R.,2024-12-01,Article,University of KwaZulu-Natal,Quantum Machine Intelligence,Publisher desconocido,Scopus,0
Pereira E.,2024-12-01,Article,University of Calgary,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,2
Philippe R.,2024-12-01,Article,Université Claude Bernard Lyon 1,Nature Communications,Publisher desconocido,Scopus,1
Picca D.,2024-09-10,Conference Paper,Université de Lausanne (UNIL),HT 2024: Creative Intelligence - 35th ACM Conference on Hypertext and Social Media,Publisher desconocido,Scopus,0
Pischetola M.,2024-12-01,Article,Københavns Universitet,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,0
Polyportis A.,2024-12-01,Article,"Department of Biotechnology, TU Delft",Humanities and Social Sciences Communications,Publisher desconocido,Scopus,9
Prescott T.J.,2024-09-16,Review,The University of Sheffield,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,0
Priven D.,2024-10-01,Article,Algonquin College,System,Publisher desconocido,Scopus,0
Pugh S.L.,2024-11-01,Article,College of Engineering and Applied Science,Psychiatry Research,Publisher desconocido,Scopus,0
Putra I.G.B.,2024-10-01,Article,National Cheng Kung University,Accident Analysis and Prevention,Publisher desconocido,Scopus,0
Qasrawi R.,2024-10-15,Article,İstinye Üniversitesi,Heliyon,Publisher desconocido,Scopus,0
Qazi A.,2024-10-01,Article,School of Business Administration,Progress in Disaster Science,Publisher desconocido,Scopus,0
Qian P.,2024-11-01,Article,Massachusetts Institute of Technology,Cognition,Publisher desconocido,Scopus,0
Qian Q.,2024-10-01,Article,The Hong Kong Polytechnic University,Chemical Engineering Journal,Publisher desconocido,Scopus,0
Qiao X.,2024-10-18,Article,East China Normal University,Neuroscience,Publisher desconocido,Scopus,0
Qiu Y.,2024-12-01,Article,South China Normal University,Communications Biology,Publisher desconocido,Scopus,0
Quinton J.C.,2024-11-01,Article,Université Grenoble Alpes,Neural Networks,Publisher desconocido,Scopus,0
Rabaey P.,2024-12-01,Article,Universiteit Gent,BioPsychoSocial Medicine,Publisher desconocido,Scopus,0
Radomski B.M.,2024-09-01,Review,Ruhr-Universitat Bochum,Entropy,Publisher desconocido,Scopus,0
Ragone E.,2024-12-01,Article,Oberlin College and Conservatory,Communications Biology,Publisher desconocido,Scopus,1
Rahimi A.R.,2024-12-01,Conference Paper,Universitat de València,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Rahman A.,2024-12-01,Article,"National Institute of Textile Engineering and Research (NITER), University of Dhaka",Scientific Reports,Publisher desconocido,Scopus,10
Rakowski R.,2024-12-01,Article,Ostravská Univerzita v Ostrave,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,1
Ramadan Elbaioumi Shaddad A.,2024-12-01,Article,Prince Sattam Bin Abdulaziz University,Asian-Pacific Journal of Second and Foreign Language Education,Publisher desconocido,Scopus,1
Ramos A.,2024-10-10,Review,Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial,Journal of Cleaner Production,Publisher desconocido,Scopus,0
Raoufi K.,2024-10-01,Review,College of Engineering,International Journal of Advanced Manufacturing Technology,Publisher desconocido,Scopus,0
Rapaport H.,2024-12-01,Review,MRC Cognition and Brain Sciences Unit,Neuroscience and Biobehavioral Reviews,Publisher desconocido,Scopus,0
Rashid A.B.,2024-12-01,Review,Military Institute of Science and Technology,Hybrid Advances,Publisher desconocido,Scopus,0
Rasul T.,2024-11-01,Article,Australian Institute of Business,International Journal of Management Education,Publisher desconocido,Scopus,0
Ratmaningsih N.,2025-06-01,Article,Universitas Pendidikan Indonesia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Raya S.,2024-11-28,Short Survey,University of Sharjah,Neurocomputing,Publisher desconocido,Scopus,0
Raza S.,2024-12-11,Article,Zhejiang Normal University,Desalination,Publisher desconocido,Scopus,0
Reiff J.,2024-12-01,Article,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Communications Earth and Environment,Publisher desconocido,Scopus,0
